,mol_id,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
0,gdb_1,157.7118,157.70997,157.70699,0.0,13.21,-0.3877,0.1171,0.5048,35.3641,0.044749000000000004,-40.47893,-40.476062,-40.475117,-40.498597,6.468999999999999,-395.99959459400003,-398.643290011,-401.01464652199996,-372.471772148
40,gdb_41,28.29567,4.14901,3.88349,1.0363,39.34,-0.2503,0.0925,0.3428,368.9331,0.107895,-194.254127,-194.24858500000002,-194.247641,-194.281899,17.887999999999998,-1033.537443432,-1040.724304009,-1047.245377537,-960.7162789999999
80,gdb_81,7.57282,3.5255,2.65861,1.3149,49.26,-0.2629,0.0789,0.3418,516.4357,0.136209,-233.551389,-233.54454199999998,-233.543598,-233.581067,23.924,-1315.881352928,-1324.915600001,-1333.215034035,-1221.7581404730001
120,gdb_121,23.529020000000003,2.22059,2.10822,0.7752,51.47,-0.2586,0.0583,0.3169,593.0141,0.11273599999999999,-195.186228,-195.179881,-195.17893700000002,-195.21541200000001,22.023000000000003,-1223.758011656,-1231.32953525,-1238.442977274,-1142.951795199
160,gdb_161,7.8609,7.51415,4.27374,1.3482,38.2,-0.2572,0.0865,0.3437,333.79699999999997,0.092697,-268.27373900000003,-268.26901499999997,-268.268071,-268.302293,15.172,-1005.662866143,-1012.474476338,-1018.4019263519999,-937.3202334439999
200,gdb_201,8.67353,3.3437099999999997,2.44992,1.6978,55.32,-0.1982,0.0533,0.2515,528.9258,0.109903,-249.395323,-249.38963999999999,-249.388696,-249.424242,20.948,-1302.514783719,-1310.502973289,-1317.6157878039999,-1218.792532939
240,gdb_241,7.62965,2.075,1.80193,2.6833,48.15,-0.2505,-0.0381,0.2124,667.8025,0.09322000000000001,-306.397642,-306.390688,-306.389744,-306.429362,22.666999999999998,-1179.5650628221001,-1185.8665082,-1192.38632671,-1104.082005212
280,gdb_281,5.43774,3.54714,2.17517,1.1652,43.45,-0.2416,-0.0632,0.1784,547.5835,0.083247,-322.482659,-322.475927,-322.474982,-322.513285,22.796,-1084.3098241311,-1089.8613962539998,-1095.78759125,-1014.5176456419999
320,gdb_321,6.571680000000001,2.87944,2.00217,3.1111,50.23,-0.28,-0.0898,0.1902,559.9421,0.04691,-266.76344500000005,-266.757444,-266.7565,-266.79286099999996,20.497,-918.96183014,-922.3077081280001,-926.455542618,-869.03093901
360,gdb_361,9.53439,2.13951,1.8058599999999998,1.6323,50.2,-0.268,0.0192,0.2871,694.4729,0.11801700000000001,-307.61045,-307.602997,-307.60205299999996,-307.642398,24.366999999999997,-1312.76137818,-1320.526802055,-1328.232612575,-1224.05043085
400,gdb_401,5.87456,3.17277,2.4559599999999997,4.9191,50.81,-0.2743,0.0226,0.2969,541.8201,0.096715,-265.399968,-265.393944,-265.393,-265.429201,21.524,-1156.82539168,-1163.7104204280001,-1170.230238938,-1079.677552693
440,gdb_441,8.78743,3.9071300000000004,2.7507,1.6338,39.3,-0.2793,-0.0315,0.2478,433.0637,0.062716,-321.271406,-321.26687000000004,-321.265926,-321.299312,15.897,-952.089285268,-957.241761667,-961.982592162,-893.961244071
480,gdb_481,6.49682,3.6489800000000003,2.93229,1.8535,53.26,-0.2442,0.0955,0.3397,508.8551,0.119394,-270.401391,-270.39567999999997,-270.39473599999997,-270.430118,21.539,-1318.2508269119999,-1327.1099989741,-1334.815809494,-1227.774696765
520,gdb_521,19.69511,1.20925,1.16405,1.514,57.94,-0.2431,0.0619,0.305,987.2389,0.117711,-270.405973,-270.397985,-270.397041,-270.439567,25.726999999999997,-1321.12607315,-1328.556407219,-1336.2622177389999,-1233.7040293060002
560,gdb_561,9.72204,2.5643700000000003,2.1101900000000002,4.2072,52.08,-0.2396,0.0265,0.2661,586.133,0.108991,-286.498779,-286.492684,-286.49174,-286.529456,20.137999999999998,-1230.75850206,-1238.487530413,-1245.6003449280001,-1147.88338843
600,gdb_601,6.4642800000000005,2.88269,2.26314,4.7574,51.08,-0.2776,0.016,0.2936,564.4965,0.09686,-265.40115099999997,-265.395097,-265.39415299999996,-265.430631,21.255,-1157.5677348269999,-1164.433938305,-1170.953756815,-1080.574890563
640,gdb_641,7.74808,3.11668,2.80799,1.6374,53.44,-0.22399999999999998,0.0811,0.3051,524.6466,0.11986600000000001,-270.39428399999997,-270.388609,-270.38766499999997,-270.423475,20.986,-1313.7911204491,-1322.672882835,-1330.378693355,-1223.606154478
680,gdb_681,7.92922,3.48635,2.82936,3.2426,50.48,-0.2407,-0.0079,0.2329,478.8605,0.097002,-269.221561,-269.216562,-269.215618,-269.249768,18.866,-1205.7485033560001,-1213.2773563380001,-1219.797174848,-1128.3170303010002
720,gdb_721,6.27422,5.986759999999999,3.06356,3.9853,48.99,-0.2329,-0.0503,0.1826,412.1508,0.07610399999999999,-264.226909,-264.222683,-264.221738,-264.254291,15.478,-1048.5719315630001,-1054.808116005,-1060.1413149960001,-983.633535189
760,gdb_761,9.64217,3.69719,2.68224,4.0185,44.3,-0.2126,0.0044,0.217,452.8301,0.075973,-297.52358300000003,-297.51860600000003,-297.51766200000003,-297.55163,18.15,-937.186574027,-942.950244192,-948.284070692,-872.0492572999999
800,gdb_801,4.56843,1.61921,1.53383,1.4965,60.35,-0.2437,0.0114,0.255,867.5699,0.133694,-362.875317,-362.866609,-362.865665,-362.908204,30.765,-1426.1729622771,-1434.927967845,-1443.819142866,-1321.930539688
840,gdb_841,7.3296600000000005,1.97888,1.57631,1.5216,60.58,-0.1811,0.045,0.2261,766.5941,0.11408800000000001,-324.608363,-324.601467,-324.600523,-324.638872,25.418000000000003,-1395.675397368,-1403.790971265,-1411.496154276,-1303.567743821
